# DESI dispersion file for cigale2s new_wavegrid()
# built from desi_2842599849197568.npz; native median R=8389; R_eff=231.372 (512-element full-range rebinning)
WAVELENGTH Dlambda R
0.36000000 1.55593829e-03 231.371644
0.36987937 1.59863740e-03 231.371644
0.37975873 1.64133652e-03 231.371644
0.38963810 1.68403564e-03 231.371644
0.39951746 1.72673476e-03 231.371644
0.40939683 1.76943388e-03 231.371644
0.41927619 1.81213299e-03 231.371644
0.42915556 1.85483211e-03 231.371644
0.43903492 1.89753123e-03 231.371644
0.44891429 1.94023035e-03 231.371644
0.45879365 1.98292946e-03 231.371644
0.46867302 2.02562858e-03 231.371644
0.47855238 2.06832770e-03 231.371644
0.48843175 2.11102682e-03 231.371644
0.49831111 2.15372593e-03 231.371644
0.50819048 2.19642505e-03 231.371644
0.51806984 2.23912417e-03 231.371644
0.52794921 2.28182329e-03 231.371644
0.53782857 2.32452241e-03 231.371644
0.54770794 2.36722152e-03 231.371644
0.55758730 2.40992064e-03 231.371644
0.56746667 2.45261976e-03 231.371644
0.57734603 2.49531888e-03 231.371644
0.58722540 2.53801799e-03 231.371644
0.59710476 2.58071711e-03 231.371644
0.60698413 2.62341623e-03 231.371644
0.61686349 2.66611535e-03 231.371644
0.62674286 2.70881446e-03 231.371644
0.63662222 2.75151358e-03 231.371644
0.64650159 2.79421270e-03 231.371644
0.65638095 2.83691182e-03 231.371644
0.66626032 2.87961094e-03 231.371644
0.67613968 2.92231005e-03 231.371644
0.68601905 2.96500917e-03 231.371644
0.69589841 3.00770829e-03 231.371644
0.70577778 3.05040741e-03 231.371644
0.71565714 3.09310652e-03 231.371644
0.72553651 3.13580564e-03 231.371644
0.73541587 3.17850476e-03 231.371644
0.74529524 3.22120388e-03 231.371644
0.75517460 3.26390300e-03 231.371644
0.76505397 3.30660211e-03 231.371644
0.77493333 3.34930123e-03 231.371644
0.78481270 3.39200035e-03 231.371644
0.79469206 3.43469947e-03 231.371644
0.80457143 3.47739858e-03 231.371644
0.81445079 3.52009770e-03 231.371644
0.82433016 3.56279682e-03 231.371644
0.83420952 3.60549594e-03 231.371644
0.84408889 3.64819505e-03 231.371644
0.85396825 3.69089417e-03 231.371644
0.86384762 3.73359329e-03 231.371644
0.87372698 3.77629241e-03 231.371644
0.88360635 3.81899153e-03 231.371644
0.89348571 3.86169064e-03 231.371644
0.90336508 3.90438976e-03 231.371644
0.91324444 3.94708888e-03 231.371644
0.92312381 3.98978800e-03 231.371644
0.93300317 4.03248711e-03 231.371644
0.94288254 4.07518623e-03 231.371644
0.95276190 4.11788535e-03 231.371644
0.96264127 4.16058447e-03 231.371644
0.97252063 4.20328358e-03 231.371644
0.98240000 4.24598270e-03 231.371644
